Neighborhoods,Address,Location,Coordinates,Latitude,Longitude
Bay Ho,"Bay Ho,San Diego,CA","San Diego, Casablanca, Regla, La Habana, La Habana Vieja, 11700, Cuba","(32.8241, -117.1937, 0.0)",32.8241,-117.1937
Bay Park,"Bay Park,San Diego,CA","Bay Park, San Diego, San Diego County, California, 92110, United States","(32.7846385, -117.2026047, 0.0)",32.7846385,-117.2026047
Carmel Valley,"Carmel Valley,San Diego,CA","Carmel Valley, San Diego, San Diego County, California, 92130, United States","(32.9434337, -117.2139794, 0.0)",32.9434337,-117.2139794
Clairemont,"Clairemont,San Diego,CA","Clairemont, San Diego, San Diego County, California, 92117, United States","(32.8195052, -117.1823399, 0.0)",32.8195052,-117.1823399
Del Mar Heights,"Del Mar Heights,San Diego,CA","Del Mar Heights, San Diego, San Diego County, California, 92014, United States","(32.9488105, -117.250785, 0.0)",32.9488105,-117.250785
Del Mar Mesa,"Del Mar Mesa,San Diego,CA","Del Mar Mesa, San Diego, San Diego County, California, 92130-5404, United States","(32.9414344, -117.1825348, 0.0)",32.9414344,-117.1825348
La Jolla,"La Jolla,San Diego,CA","La Jolla, San Diego, San Diego County, California, 92037, United States","(32.83259, -117.2716839, 0.0)",32.83259,-117.2716839
La Jolla Village,"La Jolla Village,San Diego,CA","La Jolla, San Diego, San Diego County, California, 92037, United States","(32.83259, -117.2716839, 0.0)",32.83259,-117.2716839
Mission Beach,"Mission Beach,San Diego,CA","Mission Beach, San Diego, San Diego County, California, 92109, United States","(32.7825908, -117.2524943, 0.0)",32.7825908,-117.2524943
North City,"North City,San Diego,CA",,,,
Pacific Beach,"Pacific Beach,San Diego,CA","Pacific Beach, San Diego, San Diego County, California, 92109, United States","(32.7978268, -117.2403183, 0.0)",32.7978268,-117.2403183
Pacific Highlands Ranch,"Pacific Highlands Ranch,San Diego,CA","Pacific Highlands Ranch, San Diego, San Diego County, California, 92130-5404, United States","(32.9640979, -117.1919768, 0.0)",32.9640979,-117.1919768
Torrey Hills,"Torrey Hills,San Diego,CA","Torrey Hills, San Diego, San Diego County, California, 92093-0068, United States","(32.9137688, -117.2255492, 0.0)",32.9137688,-117.2255492
Torrey Pines,"Torrey Pines,San Diego,CA","Torrey Pines, San Diego, San Diego County, California, 92093-0068, United States","(32.8919572, -117.2402554, 0.0)",32.8919572,-117.2402554
University City,"University City,San Diego,CA","University City, San Diego, San Diego County, California, 92122, United States","(32.8547865, -117.2040305, 0.0)",32.8547865,-117.2040305
Village of La Jolla,"Village of La Jolla,San Diego,CA","Village of La Jolla, La Jolla, San Diego, San Diego County, California, 92037-4291, United States","(32.8443342, -117.2709217, 0.0)",32.8443342,-117.2709217
Birdland,"Birdland,San Diego,CA","Birdland, Linda Vista, San Diego, San Diego County, California, 92133, United States","(32.7923329, -117.1542061, 0.0)",32.7923329,-117.1542061
East Elliott,"East Elliott,San Diego,CA",,,,
Kearny Mesa,"Kearny Mesa,San Diego,CA","Kearny Mesa, San Diego, San Diego County, California, 92111-2201, United States","(32.8289243, -117.142415, 0.0)",32.8289243,-117.142415
Mission Valley East,"Mission Valley East,San Diego,CA","Mission Valley, San Diego, San Diego County, California, 92018, United States","(32.7705017, -117.1540695, 0.0)",32.7705017,-117.1540695
Navajo,"Navajo,San Diego,CA","Navajo, San Diego, San Diego County, California, 92120, United States","(32.8009085, -117.0590848, 0.0)",32.8009085,-117.0590848
Allied Gardens,"Allied Gardens,San Diego,CA","Allied Gardens, San Diego, San Diego County, California, 92120, United States","(32.792687, -117.0804356, 0.0)",32.792687,-117.0804356
Del Cerro,"Del Cerro,San Diego,CA","Del Cerro, San Diego, San Diego County, California, 92120, United States","(32.7850349, -117.0624815, 0.0)",32.7850349,-117.0624815
Grantville,"Grantville,San Diego,CA","Grantville, San Diego, San Diego County, California, 92120, United States","(32.7875499, -117.0972535, 0.0)",32.7875499,-117.0972535
San Carlos,"San Carlos,San Diego,CA","San Carlos, San Diego, San Diego County, California, 92119, United States","(32.8033859, -117.0383919, 0.0)",32.8033859,-117.0383919
Serra Mesa,"Serra Mesa,San Diego,CA","Serra Mesa, San Diego, San Diego County, California, 92123, United States","(32.8028991, -117.1387739, 0.0)",32.8028991,-117.1387739
