Neighborhoods,Address,Location,Coordinates
Bay Ho,"Bay Ho,San Diego,CA","San Diego, Casablanca, Regla, La Habana, La Habana Vieja, 11700, Cuba","(23.1466811, -82.3376431, 0.0)"
Bay Park,"Bay Park,San Diego,CA","Bay Park, San Diego, San Diego County, California, 92110, United States","(32.7846385, -117.2026047, 0.0)"
Carmel Valley,"Carmel Valley,San Diego,CA","Carmel Valley, San Diego, San Diego County, California, 92130, United States","(32.9434337, -117.2139794, 0.0)"
Clairemont,"Clairemont,San Diego,CA","Clairemont, San Diego, San Diego County, California, 92117, United States","(32.8195052, -117.1823399, 0.0)"
Del Mar Heights,"Del Mar Heights,San Diego,CA","Del Mar Heights, San Diego, San Diego County, California, 92014, United States","(32.9488105, -117.250785, 0.0)"
Del Mar Mesa,"Del Mar Mesa,San Diego,CA","Del Mar Mesa, San Diego, San Diego County, California, 92130-5404, United States","(32.9414344, -117.1825348, 0.0)"
La Jolla,"La Jolla,San Diego,CA","La Jolla, San Diego, San Diego County, California, 92037, United States","(32.83259, -117.2716839, 0.0)"
La Jolla Village,"La Jolla Village,San Diego,CA","La Jolla, San Diego, San Diego County, California, 92037, United States","(32.83259, -117.2716839, 0.0)"
Mission Beach,"Mission Beach,San Diego,CA","Mission Beach, San Diego, San Diego County, California, 92109, United States","(32.7825908, -117.2524943, 0.0)"
North City,"North City,San Diego,CA",,"(32.9732, -117.2382, 0.0)"
Pacific Beach,"Pacific Beach,San Diego,CA","Pacific Beach, San Diego, San Diego County, California, 92109, United States","(32.7978268, -117.2403183, 0.0)"
Pacific Highlands Ranch,"Pacific Highlands Ranch,San Diego,CA","Pacific Highlands Ranch, San Diego, San Diego County, California, 92130-5404, United States","(32.9640979, -117.1919768, 0.0)"
Torrey Hills,"Torrey Hills,San Diego,CA","Torrey Hills, San Diego, San Diego County, California, 92093-0068, United States","(32.9137688, -117.2255492, 0.0)"
Torrey Pines,"Torrey Pines,San Diego,CA","Torrey Pines, San Diego, San Diego County, California, 92093-0068, United States","(32.8919572, -117.2402554, 0.0)"
University City,"University City,San Diego,CA","University City, San Diego, San Diego County, California, 92122, United States","(32.8547865, -117.2040305, 0.0)"
Village of La Jolla,"Village of La Jolla,San Diego,CA","Village of La Jolla, La Jolla, San Diego, San Diego County, California, 92037-4291, United States","(32.8443342, -117.2709217, 0.0)"
Birdland,"Birdland,San Diego,CA","Birdland, Linda Vista, San Diego, San Diego County, California, 92133, United States","(32.7923329, -117.1542061, 0.0)"
East Elliott,"East Elliott,San Diego,CA",,
Kearny Mesa,"Kearny Mesa,San Diego,CA","Kearny Mesa, San Diego, San Diego County, California, 92111-2201, United States","(32.8289243, -117.142415, 0.0)"
MissionåÊValleyåÊEast,"MissionåÊValleyåÊEast,San Diego,CA","Mission Valley, San Diego, San Diego County, California, 92018, United States","(32.7705017, -117.1540695, 0.0)"
Navajo,"Navajo,San Diego,CA","Navajo, San Diego, San Diego County, California, 92120, United States","(32.8009085, -117.0590848, 0.0)"
Allied Gardens,"Allied Gardens,San Diego,CA","Allied Gardens, San Diego, San Diego County, California, 92120, United States","(32.792687, -117.0804356, 0.0)"
Del Cerro,"Del Cerro,San Diego,CA","Del Cerro, San Diego, San Diego County, California, 92120, United States","(32.7850349, -117.0624815, 0.0)"
Grantville,"Grantville,San Diego,CA","Grantville, San Diego, San Diego County, California, 92120, United States","(32.7875499, -117.0972535, 0.0)"
San Carlos,"San Carlos,San Diego,CA","San Carlos, San Diego, San Diego County, California, 92119, United States","(32.8033859, -117.0383919, 0.0)"
Serra Mesa,"Serra Mesa,San Diego,CA","Serra Mesa, San Diego, San Diego County, California, 92123, United States","(32.8028991, -117.1387739, 0.0)"
Tierrasanta,"Tierrasanta,San Diego,CA","Tierrasanta, San Diego, San Diego County, California, 92124, United States","(32.8292155, -117.103643, 0.0)"
Downtown,"Downtown,San Diego,CA","Downtown, Escondido, San Diego County, California, United States","(33.12203435, -117.08237380087587, 0.0)"
Columbia,"Columbia,San Diego,CA","San Diego, Santa Fe Depot, Columbia, Banker's Hill, San Diego, San Diego County, California, 92101, United States","(32.7169643, -117.1700668, 0.0)"
Core,"Core,San Diego,CA","Metropolitan Correctional Center, San Diego, 808, Union Street, Columbia, San Diego, San Diego County, California, 92101, United States","(32.71392435, -117.1660740498022, 0.0)"
