Neighborhoods,Address
Alexandra Park,"Alexandra Park,Toronto,Ontario"
Allenby,"Allenby,Toronto,Ontario"
The Annex,"The Annex,Toronto,Ontario"
The Beaches,"The Beaches,Toronto,Ontario"
Bedford Park,"Bedford Park,Toronto,Ontario"
Bickford Park,"Bickford Park,Toronto,Ontario"
Bloor West Village,"Bloor West Village,Toronto,Ontario"
Bloor Street Culture Corridor,"Bloor Street Culture Corridor,Toronto,Ontario"
Bloordale Village,"Bloordale Village,Toronto,Ontario"
Bracondale Hill,"Bracondale Hill,Toronto,Ontario"
Brockton Village,"Brockton Village,Toronto,Ontario"
Cabbagetown,"Cabbagetown,Toronto,Ontario"
Carleton Village,"Carleton Village,Toronto,Ontario"
Casa Loma,"Casa Loma,Toronto,Ontario"
Chaplin Estates,"Chaplin Estates,Toronto,Ontario"
Chinatown,"Chinatown,Toronto,Ontario"
First Chinatown,"First Chinatown,Toronto,Ontario"
Christie Pits,"Christie Pits,Toronto,Ontario"
Church and Wellesley,"Church and Wellesley,Toronto,Ontario"
CityPlace,"CityPlace,Toronto,Ontario"
Corktown,"Corktown,Toronto,Ontario"
Corso Italia,"Corso Italia,Toronto,Ontario"
Corso Italia-Davenport,"Corso Italia-Davenport,Toronto,Ontario"
Davenport,"Davenport,Toronto,Ontario"
Davisville Village,"Davisville Village,Toronto,Ontario"
Deer Park,"Deer Park,Toronto,Ontario"
Discovery District,"Discovery District,Toronto,Ontario"
Distillery District,"Distillery District,Toronto,Ontario"
Downtown Yonge,"Downtown Yonge,Toronto,Ontario"
Dovercourt Park,"Dovercourt Park,Toronto,Ontario"
Dufferin Grove,"Dufferin Grove,Toronto,Ontario"
Earlscourt,"Earlscourt,Toronto,Ontario"
East Bayfront,"East Bayfront,Toronto,Ontario"
East Chinatown,"East Chinatown,Toronto,Ontario"
East Danforth,"East Danforth,Toronto,Ontario"
East Toronto,"East Toronto,Toronto,Ontario"
Entertainment District,"Entertainment District,Toronto,Ontario"
Fashion District,"Fashion District,Toronto,Ontario"
Financial District,"Financial District,Toronto,Ontario"
Forest Hill,"Forest Hill,Toronto,Ontario"
Garden District,"Garden District,Toronto,Ontario"
Gerrard India Bazaar,"Gerrard India Bazaar,Toronto,Ontario"
Grange Park,"Grange Park,Toronto,Ontario"
Greektown,"Greektown,Toronto,Ontario"
Harbord Village,"Harbord Village,Toronto,Ontario"
Harbourfront,"Harbourfront,Toronto,Ontario"
High Park North,"High Park North,Toronto,Ontario"
The Junction,"The Junction,Toronto,Ontario"
Junction Triangle,"Junction Triangle,Toronto,Ontario"
Kensington Market,"Kensington Market,Toronto,Ontario"
Koreatown,"Koreatown,Toronto,Ontario"
Lawrence Park,"Lawrence Park,Toronto,Ontario"
Leslieville,"Leslieville,Toronto,Ontario"
Liberty Village,"Liberty Village,Toronto,Ontario"
Little Italy,"Little Italy,Toronto,Ontario"
Little Portugal,"Little Portugal,Toronto,Ontario"
Little Tibet,"Little Tibet,Toronto,Ontario"
Lytton Park,"Lytton Park,Toronto,Ontario"
Midtown,"Midtown,Toronto,Ontario"
Moore Park,"Moore Park,Toronto,Ontario"
Moss Park,"Moss Park,Toronto,Ontario"
Niagara,"Niagara,Toronto,Ontario"
North Toronto,"North Toronto,Toronto,Ontario"
Norway,"Norway,Toronto,Ontario"
Old Town,"Old Town,Toronto,Ontario"
Palmerston,"Palmerston,Toronto,Ontario"
Parkdale,"Parkdale,Toronto,Ontario"
Playter Estates,"Playter Estates,Toronto,Ontario"
Port Lands,"Port Lands,Toronto,Ontario"
Quayside,"Quayside,Toronto,Ontario"
